0,1,2,3,4
"Girl, Interrupted",http://www.imdb.com/title/tt0172493/,http://technoir.nl/post/59125268662/august2013-girlinterrupted,"'What world is this?&#8230; What kingdom?&#8230; What shores of what worlds?'
Girl, Interrupted (1999)",http://38.media.tumblr.com/52daac3fe9c69391b30ab4db052c134a/tumblr_mrjc9gC4xC1qghl49o1_500.gif
The Science of Sleep,http://www.imdb.com/title/tt0354899/,http://technoir.nl/post/58816017357/august2013-thescienceofsleep,"'Oh, look. I just found the time machine. The time machine is here. And it works.'
The Science of Sleep (2006)",http://33.media.tumblr.com/285e95c045ea4e0297c50c4a261b6494/tumblr_mrhidglegJ1qghl49o1_500.gif
Before My Heart Falls,http://www.imdb.com/title/tt1590956/,http://technoir.nl/post/58530667875/august2013-beforemyheartfalls,"'I'm a normal girl.' 
Before My Heart Falls (2012)
Made for Pluk de Nacht Festival",http://37.media.tumblr.com/e043da48b1d4e041b23e7af959e735eb/tumblr_mqz1mpjvde1qghl49o1_500.gif
California is a Place,http://www.imdb.com/title/tt1778211/,http://technoir.nl/post/58350109673/august2013-californiaisaplace,"'I'm just paying my dues.' 
California is A Place: Superman (2010) 
Made for Pluk de Nacht Festival",http://31.media.tumblr.com/872f88a933e62d226f03446dd5d3e270/tumblr_mr8etxxf6i1qghl49o1_r3_500.gif
Carmina or Blow Up,http://www.imdb.com/title/tt2177509/,http://technoir.nl/post/58076453436/august2013-carminaorblowup,"'One of these days, Carmina is going to explode.'
Carmina or Blow Up (2012)
Made for Pluk de Nacht Festival",http://38.media.tumblr.com/83dd0daf33bb49710cbb9d5378c7b6f0/tumblr_mr8bumt7Bd1qghl49o1_r1_500.gif
Wild Bill,http://www.imdb.com/title/tt1795702/,http://technoir.nl/post/57819899605/august2013-wildbill,"'So how was your trip home? &#8230; Uneventful.' 
Wild Bill (2011)
Made for Pluk de Nacht Festival",http://37.media.tumblr.com/54ef44d3390afa0ae135ab89dc05c74c/tumblr_mqz0giv2e31qghl49o1_500.gif
The We And The I,http://www.imdb.com/title/tt1618445/,http://technoir.nl/post/57268491886/august2013-theweandthei,"'Not funny!' 
The We And The I (2012)
Made for Pluk de Nacht festival",http://38.media.tumblr.com/fa02dadc139b3ce6805040a716b9b83c/tumblr_mqz0rrPrlS1qghl49o1_r1_500.gif
Jarhead,http://www.imdb.com/title/tt0418763/,http://technoir.nl/post/56720631288/july2013-jarhead,"'Welcome to The Suck.'
Jarhead (2005)",http://37.media.tumblr.com/54d189a6f6ab51698352c4f175215d3b/tumblr_mqo0rzIgZk1qghl49o1_r3_500.gif
Stoker,http://www.imdb.com/title/tt1682180/,http://technoir.nl/post/56249641042/july2013-stoker,"'This is me. Just as a flower does not choose its color, we are not responsible for what we have come to be. Only once you realize this do you become free, and to become adult is to become free.' 
Stoker (2013) ",http://38.media.tumblr.com/626f8ab7e64c5d8445712af1ac00e61c/tumblr_mqb6ic2ZFm1qghl49o1_500.gif
Atonement,http://www.imdb.com/title/tt0783233/,http://technoir.nl/post/56071862416/july2013-atonement,"'Dearest Cecilia. The story can resume.' 
Atonement (2007)",http://38.media.tumblr.com/bd5f0b0d969610ba21d8a46c2a06c576/tumblr_mqar825D9W1qghl49o1_r1_500.gif
Spring Breakers,http://www.imdb.com/title/tt2101441/,http://technoir.nl/post/55628268755/juli2013-springbreakers,"'Please come home with me.' 
Spring Breakers (2012)",http://38.media.tumblr.com/31404d7854333bee105111e06b42f903/tumblr_mq1qnhHNti1qghl49o1_r3_500.gif
Hero,http://www.imdb.com/title/tt0299977/,http://technoir.nl/post/55289765480/july2013-hero,"'A warrior's ultimate act is to lay down his sword.' 
Hero (2002) ",http://38.media.tumblr.com/c66c44dc5178069c92f55fbfe2f3f35a/tumblr_mpug3kPhYF1qghl49o1_r1_500.gif
Dark City,http://www.imdb.com/title/tt0118929/,http://technoir.nl/post/55031863485/july2013-darkcity,"'Do you know if Shell Beach is around here?'
Dark City (1998)",http://38.media.tumblr.com/0f70b5a5798baedb8cac952ca04662b5/tumblr_mpovvriBG21qghl49o1_500.gif
Trance,http://www.imdb.com/title/tt1924429/,http://technoir.nl/post/54942408291/july2013-trance,"'I might never see you again. I need to tell you where it is.'
Trance (2013)",http://37.media.tumblr.com/62a0ffcc9f4587539c7d5e7b75fb99a4/tumblr_mpmyziPqSX1qghl49o1_500.gif
Punch-Drunk Love,http://www.imdb.com/title/tt0272338/,http://technoir.nl/post/54534002798/july2013-punchdrunklove,"'I'm here'
Punch-Drunk Love (2002)",http://38.media.tumblr.com/311804f5d1c7924d59dbadced00208a5/tumblr_mpdlwqRu6c1qghl49o1_500.gif
Hellboy,http://www.imdb.com/title/tt0167190/,http://technoir.nl/post/54451354711/july2013-hellboy,"'Where are you going? &#8230; To ask for directions.'

Hellboy (2004)",http://37.media.tumblr.com/6b6cb5cb7199bf5401d4682031fa0e6c/tumblr_mpbrgj8aDT1qghl49o1_500.gif
